Codigo	Nome	Nome_iupac	Familia	Especie	Smile	HBA	HBD	Atividade_biologica	Localizacao	Localizacao_arquivo	massa_molecular	Formula_molecular	Logp	Referencia	Data	Datamod	Hora	Tipo
VE0LAA0AF	Annolatina	16-hydroxy-5,6,15-trimethoxy-10- azatetracyclo[7.7.1.02,7.013,17]heptadeca- 1(17),2(7),3,5,9,11,13,15-octaen-8-one	ANNONACEAE	Annona Montana Macfad.	COC1=C(O)C2=C3C(C=CN=C3C(=O)C3=C2C=CC(OC)=C3OC)=C1	3	1	Antitumor and Cytotoxic	Citada para Minas Gerais, Pernambuco, Bahia, em florestas.	Molecules\VE0LAA0AF.mol	337.33	C19H15NO5	3.13	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 42.	2012-6-24	2014-22-29	10:12:23	Natural
VE0MAA0AF	Argentinina	1-[2-(dimethylamino) ethyl] -4-methoxyphenanthren-3- ol 	ANNONACEAE	Annona Montana Macfad.	COC1=C(O)C=C(CCN(C)C)C2=C1C1=C(C=CC=C1)C=C2	1	1	 Cytotoxic	Citada para Minas Gerais, Pernambuco, Bahia, em florestas.	Molecules\VE0MAA0AF.mol	295.38	C19H21NO2	4.34	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 42.	2012-6-24	2014-22-29	10:14:2	Natural
VE0NAA0AF	Annoquinona A	3-methoxy-1,4-dihydrophenanthrene-1,4-dione	ANNONACEAE	Annona Montana Macfad.	COC1=CC(=O)C2=C(C1=O)C1=C(C=CC=C1)C=C2	2	0	Antitumor and Cytotoxic	Citada para Minas Gerais, Pernambuco, Bahia, em florestas.	Molecules\VE0NAA0AF.mol	238.24	C15H10O3	2.6	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 42.	2012-6-24	2014-22-29	10:16:28	Natural
VE0OAA0AF	Pressoina	(12bS)-10-methoxy-7,8,12b,13-tetrahydro-5H-6000000- azatetraphene-2,3,11-triol 	ANNONACEAE	Annona spinescens Mart.	COC1=C(O)C=C2[C@@H]3CC4=CC(O)=C(O)C=C4CN3CCC2=C1	3	3	No information	Citada para o vale do São Francisco, na Bahia e em Pernambuco.	Molecules\VE0OAA0AF.mol	313.35	C18H19NO4	2.26	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 43.	2012-6-24	2014-22-29	10:48:32	Natural
VE0PAA0AF	Alfa-santaleno	(1R,2R,4r,6S,7R)-1,7-dimethyl-7-(4-methylpent-3-en-1- yl)tricyclo[2.2.1.02,6]heptane	ANNONACEAE	Duguetia furfuracea (A. St.-Hil.) Benth & Hook. F.	CC(C)=CCC[C@]1(C)[C@@H]2C[C@H]3[C@@H](C2)[C@@]13C	0	0	No information	Ocorre em cerrado, freqüente na Bahia, Goiás, Minas Gerais e em outros estados com ocorrência deste tipo vegetacional.	Molecules\VE0PAA0AF.mol	204.35	C15H24	5.21	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 45.	2012-6-24	2014-22-29	10:18:16	Natural
VE0QAA0AF	Ishwarano	(1R,5R,6S,8S,9S,10R)-5,6,9- trimethyltetracyclo[7.2.1.01,6.0 8,10]dodecane	ANNONACEAE	Duguetia furfuracea (A. St.-Hil.) Benth & Hook. F.	C[C@@H]1CCC[C@]23C[C@@H]4[C@H](C[C@@]12C)[C@@]4(C)C3	0	0	No information	Ocorre em cerrado, freqüente na Bahia, Goiás, Minas Gerais e em outros estados com ocorrência deste tipo vegetacional.	Molecules\VE0QAA0AF.mol	204.35	C15H24	5.3	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 45.	2012-6-24	2014-22-29	10:19:46	Natural
VE0RAA0AF	Óxido de beta-cariofileno	(1S,4R,6R,10S)-4,12,12-trimethyl-9-methylidene-5-oxatricyclo[8.2.0.04,6] dodecane	ANNONACEAE	Duguetia furfuracea (A. St.- Hil.) Benth. & Hook. F.	C[C@@]12CC[C@H]3[C@H](CC3(C)C)C(=C)CC[C@H]1O2	0	0	No information	Ocorre em cerrado, frequente na Bahia, Goiás, Minas Gerais  em outros estados com ocorrência deste tipo vegetacional.	Molecules\VE0RAA0AF.mol	220.35	C15H24O	3.56	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 45.	2012-6-24	2014-28-10	14:37:32	Natural
VE0SAA0SF	Anonaina	(12R)-3,5-dioxa-11- azapentacyclo[10.7.1.02,6.08,20.014,19]icosa- 1(20),2(6),7,14(19),15,17-hexaene	ANNONACEAE	Rollinia leptopetala R.E.Fr.	C1OC2=C(O1)C1=C3[C@@H](CC4=C1C=CC=C4)NCCC3=C2	0	1	No information	Registrada nos estados do Ceará, Piauí e Bahia, com poucas coletas em Minas Gerais e Rio de Janeiro. Típica de caatinga.	Molecules\VE0SAA0SF.mol	265.31	C17H15NO2	2.83	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 47.	2012-6-24	2014-22-29	10:20:46	Natural
VE0TAA0SF	Roemerina	(12R)-11-methyl-3,5-dioxa-11- azapentacyclo [10.7.1.02,6.08,20.014,19]icosa- 1(20),2(6),7,14(19) ,15,17-hexaene	ANNONACEAE	Rollinia leptopetala R.E.Fr.	CN1CCC2=CC3=C(OCO3)C3=C2[C@H]1CC1=C3C=CC=C1	0	0	No information	Registrada nos estados do Ceará, Piauí e Bahia, com poucas coletas em Minas Gerais e Rio de Janeiro. Típica de caatinga.	Molecules\VE0TAA0SF.mol	279.33	C18H17NO2	3.3	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 47.	2012-6-24	2014-22-29	10:21:9	Natural
VE0UAA0SF	Discretamina	(12bS)-4,11-dimethoxy-7,8,12b,13-tetrahydro-5H- 6000000-azatetraphene-3,10-diol 	ANNONACEAE	Rollinia leptopetala R.E.Fr.	COC1=C(O)C=C2CCN3CC4=C(OC)C(O)=CC=C4C[C@H]3C2=C1	2	2	No information	Registrada nos estados do Ceará, Piauí e Bahia, com poucas coletas em Minas Gerais e Rio de Janeiro. Típica de caatinga.	Molecules\VE0UAA0SF.mol	327.37	C19H21NO4	2.59	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 47.	2012-6-24	2014-22-29	10:21:32	Natural
VE0VAA0AF	Umckalina	7-hydroxy-5,6-dimethoxy-2H-chromen-2-one	APOCYNACEAE	Allamanda blanchetii A.DC.	COC1=C(O)C=C2OC(=O)C=CC2=C1OC	2	1	Miorelaxante	Espécie típica de caatinga, sobre solos arenosos, mas raramente em cerrado. Ocorrendo em todo o nordeste, chegando até o norte de Minas Gerais.	Molecules\VE0VAA0AF.mol	222.19	C11H10O5	1.5	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 50.	2012-6-24	2014-22-29	11:1:37	Natural
VE0XAA0AF	Uscharidina	(1R,3R,5S,7R,10R,12R,14R,15S,18R,19R,22R,23R)- 10,22-dihydroxy-7,18,19-trimethyl-9-oxo-19-(5-oxo- 2,5-dihydrofuran-3-yl)-4,6,11- trioxahexacyclo [12.11.0.03,12.05,10.015,23.018,22]pentacosane- 14-carbaldehyde	APOCYNACEAE	Asclepias curassavica L.	C[C@@H]1CC(=O)[C@]2(O)O[C@@H]3C[C@@]4(C=O)[C@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@](C)(CC[C@@]54O)C4=CC(=O)OC4)C[C@H]3O[C@@H]2O1	5	2	Cardiotonic and Anticancer	Planta ruderal nativa dos Neotrópicos, mas distribuída no mundo todo.	Molecules\VE0XAA0AF.mol	544.63	C30H40O9	1.49	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 52.	2012-6-24	2014-22-29	10:25:54	Natural
VE0ZAA0AF	Uscharina	(1R,3R,5S,7R,10S,12R,14R,15S,18R,19R,22R,23R)-9- (2,5-dihydro-1,3-thiazol-2-ylidene)-10,22- dihydroxy-7,18,19-trimethyl-19-(5-oxo-2,5- dihydrofuran-3-yl)-4,6,11- trioxahexacyclo[12.11.0.03,12.05,10.015,23.018,22]pentacosane- 14-carbaldehyde	APOCYNACEAE	Asclepias curassavica L.	C[C@@H]1C\C(=C2/SCC=N2)[C@]2(O)O[C@@H]3C[C@@]4(C=O)[C@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@](C)(CC[C@@]54O)C4=CC(=O)OC4)C[C@H]3O[C@@H]2O1	4	2	Cardiotonic and Anticancer	Planta ruderal nativa dos Neotrópicos, mas distribuída no mundo todo.	Molecules\VE0ZAA0AF.mol	613.76	C33H43NO8S	1.85	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 52.	2012-6-24	2014-22-29	10:27:14	Natural
VE0ABA0AF	Olivacina	1,5-dimethyl-6H-pyrido[4,3-b]carbazole	APOCYNACEAE	Aspidosperma australe Müll.Arg.	CC1=NC=CC2=C(C)C3=C(C=C12)C1=CC=CC=C1N3	1	1	Antitumor	Encontrada principalmente nas Bacias do Rio Paraná. Aparece mais raramente como pioneira em mata higrófila	Molecules\VE0ABA0AF.mol	246.31	C17H14N2	4.33	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 54.	2012-6-24	2014-22-29	10:28:0	Natural
VE0BBA0AF	Vindolina	methyl (1R,9S,10S, 11R,12R,19R)-12-ethyl-10-hydroxy-5- methoxy-8-methyl-11-phenoxy-8,16- diazapentacyclo[10.6.1.01,9.02,7.016,19]nonadeca- 2,4,6,13-tetraene -10-carboxylate	APOCYNACEAE	Aspidosperma australe Müll. Arg.	CC[C@@]12C=CCN3CC[C@@]4([C@H]13)[C@H](N(C)C1=CC(OC)=CC=C41)[C@](O)([C@@H]2OC1=CC=CC=C1)C(=O)OC	2	1	Antitumor  	Encontrada principalmente nas Bacias do Rio Paraná. Aparece mais raramente como pioneira em mata higrófila.	Molecules\VE0BBA0AF.mol	490.59	C29H34N2O5	4.14	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 54.	2012-6-24	2014-22-29	10:28:14	Natural
VE0CBA0SF	Aspidolimidina	(1R,4R,12R,15S,16S)-8-methoxy-5-phenyl-17-oxa-5,15- diazahexacyclo [13.4.3.01,16.04,12.06,11.012,16]docosa- 6,8,10-trien-7-ol	APOCYNACEAE	Aspidosperma limae Woodson	COC1=CC=C2C(N([C@@H]3CC[C@]45CCO[C@@]44[N@](CC[C@@]234)CCC5)C2=CC=CC=C2)=C1O	1	1	No information	Planta descrita para Pernambuco.	Molecules\VE0CBA0SF.mol	418.53	C26H30N2O3	4.35	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 57.	2012-7-1	2014-22-29	10:28:36	Natural
VE0DBA0SF	Aspidolimina	1-[(1R,9R,12R,19R)-12-ethyl-6-hydroxy-5-methoxy- 8,16- diazapentacyclo[10.6.1.01,9.02,7.016,19]nonadeca- 2,4,6-trien-8-yl]propan-1-one	APOCYNACEAE	Aspidosperma limae Woodson	CCC(=O)N1[C@@H]2CC[C@@]3(CC)CCCN4CC[C@@]2([C@@H]34)C2=CC=C(OC)C(O)=C12	2	1	No information	Planta descrita para Pernambuco.	Molecules\VE0DBA0SF.mol	384.51	C23H32N2O3	3.49	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 57.	2012-7-1	2014-22-29	10:28:59	Natural
VE0EBA0AF	Aspidospermina	(1R,9R,12R,19R)-12-ethyl-6-methoxy-8-phenyl-8,16- diazapentacyclo[10.6.1.01,9.02,7.016,19]nonadeca- 2,4,6-triene	APOCYNACEAE	Aspidosperma pyrifolium Mart.	CC[C@@]12CCCN3CC[C@@]4([C@@H](CC1)N(C1=C(OC)C=CC=C41)C1=CC=CC=C1)[C@@H]23	0	0	Antibacterial, Antifungal, Anti- Palsmodium Falciparum, Antiespasmódica, Antispasmodic and Hypotensive	Ocorre na Argentina, Bolívia, Paraguai e Sul, Sudeste, Centro-Oeste e Nordeste do Brasil.	Molecules\VE0EBA0AF.mol	388.55	C26H32N2O	5.7	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 60.	2012-7-1	2014-22-29	10:34:27	Natural
VE0FBA0AF	Dihidroellipticina	5,11-dimethyl-3H,4H,6H-pyrido[4,3-b]carbazole	APOCYNACEAE	Aspidosperma ulei Marhgr.	CC1=C2NC3=C(C=CC=C3)C2=C(C)C2=C1CCN=C2	0	1	Antimalarial, Antiamébica, Antipyretic, Hypotensive and Muscle Relaxant	Encontrada no Norte do Brasil, na Venezuela e na Bolívia, geralmente em florestas transicionais.	Molecules\VE0FBA0AF.mol	248.32	C17H16N2	3.52	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 62.	2012-7-1	2014-22-29	10:45:24	Natural
VE0GBA0AF	Uleína	(1R,12R,16R)-16-ethyl-15-methyl-11-methylidene- 9,15- diazatetracyclo [10.3.1.02,10.03,8]hexadeca- 2(10),3(8),4,6-tetraene	APOCYNACEAE	Aspidosperma ulei Marhgr.	CC[C@@H]1[C@H]2CCN(C)[C@H]1C1=C(NC3=C1C=CC=C3)C2=C	0	1	Antimalarial,  Antiamébica, Antipyretic,Hypotensive and Muscle Relaxant	Encontrada no Norte do Brasil, na Venezuela e na Bolívia, geralmente em florestas transicionais.	Molecules\VE0GBA0AF.mol	266.38	C18H22N2	3.46	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 62.	2012-7-1	2014-22-29	11:2:56	Natural
VE0HBA0AF	Calotropagenina	(1S,2R,8R,10R,11R,14R,15R)-14-[(2R,5S)-5- (ethylsul fanyl)-6-methylheptan-2-yl]-8-hydroxy- 2,15- dime thyltetracyclo[8.7.0.02,7. 011,15]heptadec-6- en-5-one	APOCYNACEAE	Calotropis procera (Aiton) W.T.Aiton	CCS[C@@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@H]3C[C@@H](O)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C	2	1	Antibacterial, Antimalarial, Larvicide, Cytostatic, Analgesic, Anti-Diarrheal, Estrogenic.	Planta ruderal nativa da Ásia e África, e introduzida na Austrália e nas Américas.	Molecules\VE0HBA0AF.mol	460.76	C29H48O2S	7.38	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 64.	2012-7-1	2014-22-29	10:50:17	Natural
